id;cliente_id;valor;data
8615;586;0.2;2022-01-19 17:12:26 -0300
8613;586;0.2;2022-01-19 17:11:25 -0300
8611;586;0.2;2022-01-19 17:10:05 -0300
8606;910;300.0;2022-01-19 16:59:36 -0300
8604;76;100.0;2022-01-18 09:48:14 -0300
8603;76;100.0;2022-01-18 09:48:04 -0300
8602;76;100.0;2022-01-18 09:47:47 -0300
8601;76;100.0;2022-01-18 09:47:43 -0300
8600;76;100.0;2022-01-18 09:47:39 -0300
8599;76;100.0;2022-01-18 09:43:05 -0300
8598;76;100.0;2022-01-18 09:42:56 -0300
8597;76;100.0;2022-01-18 09:40:28 -0300
8596;76;100.0;2022-01-18 09:38:19 -0300
8595;76;100.0;2022-01-18 09:37:59 -0300
8594;76;100.0;2022-01-18 09:37:29 -0300
8593;76;100.0;2022-01-18 09:37:19 -0300
8592;907;10.0;2022-01-18 09:30:26 -0300
8591;907;10.0;2022-01-18 09:30:14 -0300
8590;907;10.0;2022-01-18 09:30:10 -0300
8589;907;10.0;2022-01-18 09:30:04 -0300
8586;907;10.0;2022-01-18 09:28:23 -0300
8532;370;50.0;2022-01-11 18:20:04 -0300
8529;909;8.0;2022-01-11 16:22:52 -0300
8512;671;2.0;2022-01-09 09:55:40 -0300
8509;671;1000.0;2022-01-09 09:53:19 -0300
8473;671;200.0;2022-01-05 14:42:58 -0300
8436;671;300.0;2021-12-31 14:17:21 -0300
8431;671;1000.0;2021-12-31 10:34:52 -0300
8420;370;50.0;2021-12-29 10:33:28 -0300
8403;671;1000.0;2021-12-22 15:56:41 -0300
8379;671;1000.0;2021-12-20 13:44:51 -0300
8372;671;200.0;2021-12-18 10:38:45 -0300
8333;671;50.0;2021-12-17 08:04:34 -0300
8282;671;1000.0;2021-12-12 14:38:55 -0300
8201;671;1000.0;2021-12-08 13:39:05 -0300
8196;370;50.0;2021-12-08 10:44:31 -0300
8194;74;20.0;2021-12-07 18:33:45 -0300
8150;671;1000.0;2021-12-05 15:43:28 -0300
8143;671;50.0;2021-12-05 10:30:35 -0300
8134;431;1100.0;2021-12-04 08:36:24 -0300
8124;671;80.0;2021-12-03 12:46:41 -0300
8096;671;1000.0;2021-11-30 13:12:09 -0300
8095;671;1.0;2021-11-30 13:00:35 -0300
8089;671;20.0;2021-11-30 07:05:28 -0300
8083;671;20.0;2021-11-29 07:49:19 -0300
8040;702;20.0;2021-11-27 14:10:04 -0300
8022;671;60.0;2021-11-25 10:38:16 -0300
8018;671;30.0;2021-11-24 21:20:10 -0300
8015;671;1000.0;2021-11-24 21:04:51 -0300
7945;671;10.0;2021-11-20 20:57:44 -0300
7942;671;10.0;2021-11-20 20:49:54 -0300
7937;671;1000.0;2021-11-20 18:58:33 -0300
7910;671;40.0;2021-11-19 20:01:51 -0300
7907;370;50.0;2021-11-19 17:07:48 -0300
7902;671;2.0;2021-11-19 15:55:33 -0300
7896;671;30.0;2021-11-19 12:33:57 -0300
7886;671;100.0;2021-11-18 15:17:44 -0300
7881;211;1.479;2021-11-17 20:23:49 -0300
7867;671;1000.0;2021-11-17 18:24:38 -0300
7827;671;100.0;2021-11-17 06:59:43 -0300
7796;671;100.0;2021-11-15 15:29:58 -0300
7766;671;1000.0;2021-11-13 00:16:55 -0300
7756;732;7.751999999999999;2021-11-10 22:31:33 -0300
7733;671;110.0;2021-11-10 06:57:24 -0300
7710;732;29.0;2021-11-09 17:48:17 -0300
7706;732;20.0;2021-11-09 09:37:41 -0300
7679;671;1000.0;2021-11-08 19:54:34 -0300
7674;732;103.0000000000001;2021-11-08 19:43:40 -0300
7648;732;50.2421233842;2021-11-08 00:32:51 -0300
7643;732;5.0;2021-11-07 16:32:27 -0300
7639;671;600.0;2021-11-07 15:43:49 -0300
7614;732;40.0;2021-11-07 12:02:34 -0300
7592;211;417.452952;2021-11-07 00:06:42 -0300
7591;732;48.84040799999998;2021-11-07 00:06:38 -0300
7585;211;7.853999999999999;2021-11-06 17:23:54 -0300
7579;732;3.0;2021-11-06 16:19:58 -0300
7578;732;2.0;2021-11-06 16:14:05 -0300
7571;732;12.0;2021-11-06 14:06:22 -0300
7566;211;50.0;2021-11-06 12:35:54 -0300
7563;732;10.0;2021-11-06 12:13:41 -0300
7544;732;25.0;2021-11-06 00:15:54 -0300
7542;732;3.0;2021-11-05 20:16:28 -0300
7541;732;27.0;2021-11-05 19:03:53 -0300
7539;732;27.0;2021-11-05 18:04:56 -0300
7516;732;15.0;2021-11-05 12:07:52 -0300
7515;732;11.0;2021-11-05 12:07:52 -0300
7514;732;12.0;2021-11-05 12:07:51 -0300
7507;732;7.0;2021-11-04 23:49:36 -0300
7506;732;7.0;2021-11-04 23:49:31 -0300
7492;732;20.0;2021-11-04 22:59:26 -0300
7486;732;20.0;2021-11-04 19:51:20 -0300
7482;370;50.0;2021-11-04 16:11:26 -0300
7478;671;500.0;2021-11-04 12:57:04 -0300
7470;730;10.0;2021-11-04 12:11:26 -0300
7457;732;60.0;2021-11-04 04:56:40 -0300
7445;732;64.89112499999999;2021-11-03 23:19:26 -0300
7439;732;35.0;2021-11-03 20:58:45 -0300
7434;730;2.0;2021-11-03 19:41:06 -0300
7419;671;55.0;2021-11-03 16:49:17 -0300
7411;730;10.0;2021-11-03 15:46:48 -0300
7408;730;5.0;2021-11-03 15:38:34 -0300
