id;cliente_id;valor;data
8607;910;-2.0;2022-01-19 17:15:26 -0300
8608;910;-2.0;2022-01-19 17:14:56 -0300
8609;910;-2.0;2022-01-19 17:14:26 -0300
8610;910;-2.0;2022-01-19 17:13:56 -0300
8612;910;-2.0;2022-01-19 17:13:26 -0300
8614;910;-2.0;2022-01-19 17:12:56 -0300
8573;671;-10.0;2022-01-13 12:21:25 -0300
8574;671;-10.0;2022-01-13 12:20:55 -0300
8575;671;-5.0;2022-01-13 12:20:25 -0300
8576;671;-10.0;2022-01-13 12:19:55 -0300
8577;671;-2.0;2022-01-13 12:19:25 -0300
8580;671;-10.0;2022-01-13 12:18:55 -0300
8581;671;-100.0;2022-01-13 12:18:25 -0300
8582;671;-15.0;2022-01-13 12:17:55 -0300
8583;671;-100.0;2022-01-13 12:17:25 -0300
8584;671;-2.0;2022-01-13 12:16:55 -0300
8579;370;-7.0;2022-01-13 00:44:57 -0300
8578;370;-3.0;2022-01-13 00:37:43 -0300
8572;671;-2.0;2022-01-12 16:43:20 -0300
8539;671;-10.0;2022-01-12 14:16:29 -0300
8538;671;-3.0;2022-01-12 13:00:58 -0300
8537;370;-2.0;2022-01-12 09:57:12 -0300
8536;370;-2.0;2022-01-12 09:00:43 -0300
8535;370;-3.0;2022-01-12 08:55:12 -0300
8534;671;-50.0;2022-01-11 20:52:39 -0300
8533;671;-100.0;2022-01-11 18:25:55 -0300
8531;431;-50.0;2022-01-11 18:20:03 -0300
8530;671;-5.0;2022-01-11 16:24:11 -0300
8528;671;-50.0;2022-01-11 12:54:14 -0300
8527;671;-50.0;2022-01-11 12:35:18 -0300
8526;671;-10.0;2022-01-11 06:33:08 -0300
8525;671;-40.0;2022-01-10 21:53:13 -0300
8524;671;-10.0;2022-01-10 15:10:59 -0300
8523;671;-50.0;2022-01-10 13:14:28 -0300
8522;671;-50.0;2022-01-09 16:13:42 -0300
8521;671;-2.0;2022-01-09 12:59:51 -0300
8520;671;-3.0;2022-01-09 11:19:48 -0300
8519;671;-10.0;2022-01-09 11:17:02 -0300
8518;671;-10.0;2022-01-09 11:11:47 -0300
8517;671;-20.0;2022-01-09 11:09:10 -0300
8516;671;-2.0;2022-01-09 11:03:14 -0300
8515;671;-100.0;2022-01-09 10:58:18 -0300
8514;671;-100.0;2022-01-09 10:52:19 -0300
8513;671;-10.0;2022-01-09 10:44:30 -0300
8511;671;-10.0;2022-01-09 09:55:10 -0300
8510;671;-2.0;2022-01-09 09:54:15 -0300
8508;671;-5.0;2022-01-09 09:37:24 -0300
8507;671;-10.0;2022-01-09 07:54:28 -0300
8506;671;-50.0;2022-01-09 07:52:07 -0300
8505;671;-10.0;2022-01-09 00:11:44 -0300
8504;671;-10.0;2022-01-08 22:57:25 -0300
8503;671;-2.0;2022-01-08 16:54:13 -0300
8502;671;-20.0;2022-01-08 16:50:25 -0300
8501;671;-25.0;2022-01-08 16:43:39 -0300
8500;671;-10.0;2022-01-08 16:36:01 -0300
8499;671;-2.0;2022-01-08 13:56:40 -0300
8498;671;-50.0;2022-01-08 13:41:19 -0300
8497;671;-10.0;2022-01-08 12:45:39 -0300
8496;671;-5.0;2022-01-08 11:29:37 -0300
8495;671;-50.0;2022-01-08 11:27:52 -0300
8494;671;-2.0;2022-01-08 09:58:31 -0300
8493;671;-3.0;2022-01-08 09:54:57 -0300
8492;671;-2.0;2022-01-08 09:34:33 -0300
8491;671;-10.0;2022-01-08 06:04:51 -0300
8490;671;-10.0;2022-01-08 06:04:21 -0300
8489;671;-10.0;2022-01-07 18:50:53 -0300
8488;671;-10.0;2022-01-07 14:28:15 -0300
8487;671;-100.0;2022-01-07 12:25:39 -0300
8486;671;-100.0;2022-01-07 12:24:02 -0300
8485;671;-10.0;2022-01-06 17:39:05 -0300
8484;671;-5.0;2022-01-06 16:24:15 -0300
8483;671;-50.0;2022-01-06 16:18:29 -0300
8482;671;-5.0;2022-01-06 13:21:23 -0300
8481;671;-3.0;2022-01-06 12:25:31 -0300
8480;671;-15.0;2022-01-06 12:23:46 -0300
8479;671;-10.0;2022-01-06 09:46:47 -0300
8478;671;-5.0;2022-01-06 09:44:12 -0300
8477;671;-100.0;2022-01-06 09:39:41 -0300
8476;671;-10.0;2022-01-05 20:37:56 -0300
8475;671;-2.0;2022-01-05 20:13:12 -0300
8474;671;-50.0;2022-01-05 14:58:45 -0300
8472;671;-2.0;2022-01-05 12:53:32 -0300
8471;671;-200.0;2022-01-05 12:48:59 -0300
8470;671;-30.0;2022-01-05 12:41:12 -0300
8469;671;-2.0;2022-01-05 12:40:32 -0300
8468;671;-10.0;2022-01-05 12:32:23 -0300
8467;671;-10.0;2022-01-04 19:02:23 -0300
8466;671;-10.0;2022-01-04 15:45:20 -0300
8465;671;-2.0;2022-01-04 14:26:27 -0300
8464;671;-10.0;2022-01-04 13:24:14 -0300
8463;671;-2.0;2022-01-04 13:11:19 -0300
8462;671;-2.0;2022-01-04 12:28:05 -0300
8461;671;-20.0;2022-01-04 12:24:41 -0300
8460;671;-20.0;2022-01-04 06:24:19 -0300
8459;370;-5.0;2022-01-03 23:54:27 -0300
8458;671;-2.0;2022-01-03 15:28:30 -0300
8457;671;-2.0;2022-01-03 12:53:58 -0300
8456;671;-20.0;2022-01-03 12:29:09 -0300
8455;671;-10.0;2022-01-03 12:26:45 -0300
8454;671;-10.0;2022-01-03 12:25:04 -0300
8453;671;-100.0;2022-01-03 12:22:44 -0300
